#
Crusader;1;40;40;30;30;30;30;67;10;1;15 prot;true;holyWater;
Crusader;2;50;50;40;40;40;40;67;20;1;15 prot;true;holyWater
Crusader;3;60;50;50;50;50;50;67;30;1;15 prot;true;holyWater
Crusader;4;70;70;60;50;60;60;67;40;1;15 prot;true;holyWater
Crusader;5;80;80;70;60;70;70;67;50;1;15 prot;true;holyWater
Highwayman;1;30;30;30;30;30;30;67;40;2;2 speed;false;null
Highwayman;2;40;40;40;40;40;40;67;50;2;2 speed;false;null
Highwayman;3;50;50;50;50;50;50;67;60;2;2 speed;false;null
Highwayman;4;60;60;60;60;60;60;67;70;2;2 speed;false;null
Highwayman;5;70;70;70;70;70;70;67;80;2;2 speed;false;null
Vestal;1;30;30;30;40;30;30;67;10;1;25 healing skills;true;null
Vestal;2;40;40;40;50;40;40;67;20;1;25 healing skills;true;null
Vestal;3;50;50;50;60;50;50;67;30;1;25 healing skills;true;null
Vestal;4;60;60;60;70;60;60;67;40;1;25 healing skills;true;null
Vestal;5;70;70;70;80;70;70;67;50;1;25 healing skills;true;null
